wl,n
0.2500,1.8173715037213
0.2735,1.8005455349092
0.2970,1.7883262071592
0.3205,1.7791223435196
0.3440,1.7719868531489
0.3675,1.7663231621057
0.3910,1.7617382645233
0.4145,1.7579636583587
0.4380,1.7548102742746
0.4615,1.7521415351526
0.4850,1.7498566017488
0.5085,1.7478795963198
0.5320,1.7461524674401
0.5555,1.7446301449966
0.5790,1.7432771765125
0.6025,1.7420653455405
0.6260,1.7409719555404
0.6495,1.7399785736255
0.6730,1.7390700977398
0.6965,1.7382340549592
0.7200,1.7374600673716
0.7435,1.7367394410765
0.7670,1.7360648467522
0.7905,1.7354300690868
0.8140,1.7348298085407
0.8375,1.7342595232586
0.8610,1.733715302063
0.8845,1.7331937617078
0.9080,1.732691963219
0.9315,1.732207343359
0.9550,1.7317376581588
0.9785,1.7312809361416
1.002,1.7308354393751
1.026,1.7303904533614
1.049,1.7299721472806
1.073,1.7295429006665
1.096,1.729137433802
1.120,1.728719494353
1.143,1.7283230681311
1.167,1.7279128817202
1.190,1.727522434949
1.214,1.7271171237263
1.237,1.7267301663432
1.261,1.7263273791038
1.284,1.725941868124
1.308,1.7255396679708
1.331,1.7251539138033
1.355,1.7247506928286
1.378,1.7243632877377
1.402,1.7239577015326
1.425,1.7235674644481
1.449,1.7231583813357
1.472,1.7227643148722
1.496,1.7223507761926
1.519,1.7219520328801
1.543,1.7215332216588
1.566,1.7211290771939
1.590,1.7207042932257
1.613,1.7202941251206
1.637,1.7198627650105
1.660,1.7194460354279
1.684,1.71900757649
1.707,1.7185838183522
1.731,1.7181378055373
1.754,1.7177066112114
1.778,1.7172526464281
1.801,1.7168136584568
1.825,1.7163513917973
1.848,1.7159042952615
1.872,1.7154334177532
1.895,1.7149779339463
1.919,1.714498171533
1.942,1.714034052695
1.966,1.7135451612142
1.989,1.7130721861274
2.013,1.7125739470996
2.036,1.7120919173881
2.060,1.7115841344717
2.083,1.7110928714782
2.107,1.7105753674714
2.130,1.7100747096117
2.154,1.7095473239069
2.177,1.7090371244192
2.201,1.7084997108343
2.224,1.7079798358573
2.248,1.7074322607798
2.271,1.7069025877061
2.295,1.7063447285008
2.318,1.7058051445607
2.342,1.7052368881974
2.365,1.704687289238
2.389,1.7041085311064
2.412,1.7035488205337
2.436,1.7029594634159
2.459,1.7023895512772
2.483,1.7017895044542
2.506,1.7012093066393
2.530,1.7005984851123
2.553,1.7000079226551
2.577,1.6993862464643
2.600,1.6987852449324
