wl,n
0.5500,2.7613285596807
0.5670,2.7377084376086
0.5845,2.7167988647939
0.6025,2.6982026226217
0.6211,2.6815106808244
0.6403,2.6664857602666
0.6601,2.6529259375346
0.6804,2.6407148678559
0.7014,2.6295845705482
0.7231,2.6194267107625
0.7454,2.6101838781851
0.7684,2.6017224428527
0.7921,2.5939674466896
0.8166,2.5868242993293
0.8418,2.5802663475785
0.8678,2.574216695115
0.8946,2.5686330073651
0.9222,2.5634764213975
0.9507,2.5586954103222
0.9800,2.5542764381145
1.010,2.5502020119089
1.041,2.5464057162305
1.074,2.5427645548406
1.107,2.5394808189053
1.141,2.5364218569981
1.176,2.5335719565559
1.212,2.5309162641529
1.250,2.5283771465263
1.288,2.5260745893668
1.328,2.5238737679133
1.369,2.5218252095343
1.411,2.5199168115271
1.455,2.5180979545158
1.500,2.5164047735062
1.546,2.5148267183966
1.594,2.5133242195981
1.643,2.511923477542
1.694,2.5105906222102
1.746,2.5093467567044
1.800,2.5081628826317
1.856,2.5070368658474
1.913,2.5059839379085
1.972,2.5049808498114
2.033,2.5040251073629
2.096,2.5031140611988
2.160,2.5022578336945
2.227,2.5014269423314
2.296,2.5006324648245
2.367,2.499871582698
2.440,2.499141513206
2.515,2.4984395271385
2.593,2.4977544431883
2.673,2.4970931638647
2.755,2.4964530220701
2.840,2.4958242454425
2.928,2.4952053992626
3.018,2.4946014701569
3.111,2.4940036768471
3.207,2.4934103469607
3.306,2.4928197312883
3.409,2.4922243225903
3.514,2.4916338062752
3.622,2.4910404273267
3.734,2.4904369295017
3.849,2.4898268687226
3.968,2.4892030178417
4.091,2.4885634603486
4.217,2.4879113346687
4.347,2.4872393393862
4.481,2.4865452897778
4.620,2.4858216813008
4.762,2.4850765398334
4.909,2.4842968749441
5.061,2.483479898072
5.217,2.4826281510671
5.378,2.4817331965531
5.544,2.4807917531491
5.715,2.4798003534039
5.891,2.4787553363675
6.073,2.4776466652486
6.261,2.4764697351108
6.454,2.4752261636042
6.653,2.4739045635769
6.859,2.4724923945694
7.070,2.4709973901123
7.289,2.4693914988
7.514,2.4676817039784
7.746,2.4658525145194
7.985,2.4638949641978
8.231,2.4617993354052
8.485,2.4595460229795
8.747,2.4571223740979
9.017,2.4545145256498
9.296,2.4516969255923
9.582,2.4486729809071
9.878,2.4453916104066
10.18,2.441876597229
10.50,2.4379579512449
10.82,2.4338282746044
11.16,2.4291953471991
11.50,2.4242939280773
