wl,n
0.2000,0.927
0.2099,0.911
0.2198,0.917
0.2297,0.945
0.2396,0.997
0.2495,1.076
0.2594,1.185
0.2693,1.326
0.2792,1.489
0.2891,1.645
0.2990,1.758
0.3090,1.808
0.3189,1.808
0.3288,1.784
0.3387,1.762
0.3486,1.753
0.3585,1.762
0.3684,1.790
0.3783,1.832
0.3882,1.882
0.3981,1.933
0.4080,1.977
0.4179,2.015
0.4278,2.047
0.4377,2.078
0.4476,2.111
0.4575,2.146
0.4674,2.184
0.4773,2.225
0.4872,2.269
0.4971,2.315
0.5071,2.362
0.5170,2.411
0.5269,2.460
0.5368,2.509
0.5467,2.558
0.5566,2.606
0.5665,2.653
0.5764,2.699
0.5863,2.744
0.5962,2.787
0.6061,2.829
0.6160,2.868
0.6259,2.906
0.6358,2.942
0.6457,2.977
0.6556,3.009
0.6655,3.039
0.6754,3.067
0.6853,3.094
0.6952,3.119
0.7052,3.142
0.7151,3.163
0.7250,3.183
0.7349,3.202
0.7448,3.219
0.7547,3.235
0.7646,3.250
0.7745,3.264
0.7844,3.277
0.7943,3.289
0.8042,3.300
0.8141,3.311
0.8240,3.322
0.8339,3.332
0.8438,3.341
0.8537,3.351
0.8636,3.360
0.8735,3.369
0.8834,3.378
0.8933,3.387
0.9033,3.396
0.9132,3.406
0.9231,3.415
0.9330,3.424
0.9429,3.434
0.9528,3.444
0.9627,3.454
0.9726,3.464
0.9825,3.475
0.9924,3.486
1.0023,3.497
1.0122,3.508
1.0221,3.519
1.0320,3.531
1.0419,3.543
1.0518,3.555
1.0617,3.567
1.0716,3.580
1.0815,3.592
1.0914,3.605
1.1014,3.618
1.1113,3.630
1.1212,3.643
1.1311,3.656
1.1410,3.669
1.1509,3.681
1.1608,3.694
1.1707,3.706
1.1806,3.719
1.1905,3.731
1.2004,3.743
1.2103,3.755
1.2202,3.766
1.2301,3.777
1.2400,3.788
1.2499,3.799
1.2598,3.809
1.2697,3.819
1.2796,3.829
1.2895,3.838
1.2994,3.847
1.3094,3.855
1.3193,3.863
1.3292,3.871
1.3391,3.878
1.3490,3.885
1.3589,3.891
1.3688,3.897
1.3787,3.902
1.3886,3.907
1.3985,3.911
1.4084,3.915
1.4183,3.919
1.4282,3.922
1.4381,3.925
1.4480,3.927
1.4579,3.929
1.4678,3.930
1.4777,3.931
1.4876,3.932
1.4975,3.932
1.5075,3.932
1.5174,3.931
1.5273,3.930
1.5372,3.929
1.5471,3.927
1.5570,3.926
1.5669,3.924
1.5768,3.921
1.5867,3.918
1.5966,3.916
1.6065,3.912
1.6164,3.909
