wl,n
0.250,1.92
0.260,2.12
0.270,2.26
0.280,2.40
0.290,2.48
0.300,2.50
0.310,2.56
0.320,2.59
0.330,2.38
0.340,2.33
0.350,2.41
0.360,2.43
0.370,2.50
0.380,2.55
0.390,2.65
0.400,2.78
0.410,2.97
0.420,3.14
0.430,3.37
0.440,3.64
0.450,3.85
0.460,4.07
0.470,4.17
0.480,4.28
0.490,4.32
0.500,4.38
0.520,4.33
0.540,4.22
0.560,4.03
0.580,3.79
0.600,3.50
0.620,3.24
0.640,2.98
0.660,2.67
0.680,2.51
0.700,2.39
0.725,2.30
0.750,2.26
0.775,2.25
0.800,2.24
0.825,2.28
0.850,2.30
0.875,2.35
0.900,2.42
0.925,2.50
0.950,2.63
0.975,2.71
1.00,2.85
1.05,3.00
1.10,3.22
1.20,3.38
1.25,3.13
1.30,3.02
1.35,2.80
1.40,2.48
1.45,2.27
1.50,1.92
1.55,1.78
1.60,1.50
1.65,1.44
1.70,1.51
1.75,1.26
1.80,1.38
1.90,1.35
2.00,1.51
2.10,1.65
2.20,1.30
2.30,1.36
2.40,1.13
2.50,1.23
2.60,1.54
2.80,1.56
2.90,1.61
3.00,1.81
3.10,2.05
3.20,2.18
3.30,2.30
3.40,2.50
3.50,2.60
3.60,2.72
3.70,2.58
3.80,3.16
3.90,3.51
4.00,3.89
4.25,4.20
4.50,4.08
5.00,4.42
5.5,4.69
6.0,4.75
6.5,5.57
7.0,7.20
8.0,9.30

wl,k
0.250,3.46
0.260,3.49
0.270,3.47
0.280,3.45
0.290,3.41
0.300,3.34
0.310,3.32
0.320,3.31
0.330,3.25
0.340,3.25
0.350,3.47
0.360,3.54
0.370,3.75
0.380,3.90
0.390,4.05
0.400,4.19
0.410,4.34
0.420,4.44
0.430,4.50
0.440,4.48
0.450,4.44
0.460,4.30
0.470,4.15
0.480,3.97
0.490,3.83
0.500,3.61
0.520,3.40
0.540,3.15
0.560,2.96
0.580,2.82
0.600,2.79
0.620,2.80
0.640,2.94
0.660,3.17
0.680,3.40
0.700,3.60
0.725,3.90
0.750,4.17
0.775,4.43
0.800,4.66
0.825,4.90
0.850,5.13
0.875,5.35
0.900,5.56
0.925,5.76
0.950,5.91
0.975,6.01
1.00,6.05
1.05,6.12
1.10,6.25
1.20,6.51
1.25,6.67
1.30,6.74
1.35,7.13
1.40,7.04
1.45,7.60
1.50,7.81
1.55,8.08
1.60,8.45
1.65,8.91
1.70,9.01
1.75,9.73
1.80,9.88
1.90,10.2
2.00,11.4
2.10,11.9
2.20,13.0
2.30,13.6
2.40,14.3
2.50,14.5
2.60,15.1
2.80,16.4
2.90,16.8
3.00,18.3
3.10,19.2
3.20,20.0
3.30,21.0
3.40,22.5
3.50,22.5
3.60,23.8
3.70,24.3
3.80,24.6
3.90,25.7
4.00,26.1
4.25,27.6
4.50,28.7
5.00,30.9
5.5,32.7
6.0,34.6
6.5,35.4
7.0,37.8
8.0,39.3
