wl,n
0.245,1.77546
0.246,1.74998
0.247,1.72474
0.248,1.70124
0.249,1.67876
0.250,1.65720
0.251,1.63730
0.252,1.61823
0.253,1.60042
0.254,1.58401
0.255,1.56833
0.256,1.55410
0.257,1.54082
0.258,1.52822
0.259,1.51732
0.260,1.50707
0.261,1.49772
0.262,1.48959
0.263,1.48203
0.264,1.47548
0.265,1.46980
0.266,1.46465
0.267,1.46059
0.268,1.45704
0.269,1.45404
0.270,1.45188
0.271,1.45008
0.272,1.44887
0.273,1.44817
0.274,1.44776
0.275,1.44788
0.276,1.44829
0.277,1.44893
0.278,1.44996
0.279,1.45111
0.280,1.45246
0.281,1.45400
0.282,1.45565
0.283,1.45739
0.284,1.45919
0.285,1.46102
0.286,1.46287
0.287,1.46471
0.288,1.46653
0.289,1.46830
0.290,1.47001
0.291,1.47166
0.292,1.47324
0.293,1.47473
0.294,1.47614
0.295,1.47746
0.296,1.47870
0.297,1.47985
0.298,1.48092
0.299,1.48191
0.300,1.48283
0.301,1.48369
0.302,1.48449
0.303,1.48524
0.304,1.48596
0.305,1.48665
0.306,1.48733
0.307,1.48801
0.308,1.48869
0.309,1.48939
0.310,1.49013
0.311,1.49090
0.312,1.49173
0.313,1.49263
0.314,1.49360
0.315,1.49466
0.316,1.49581
0.317,1.49707
0.318,1.49844
0.319,1.49994
0.320,1.50157
0.321,1.50333
0.322,1.50524
0.323,1.50731
0.324,1.50953
0.325,1.51192
0.326,1.51447
0.327,1.51720
0.328,1.52011
0.329,1.52319
0.330,1.52646
0.331,1.52992
0.332,1.53356
0.333,1.53739
0.334,1.54141
0.335,1.54563
0.336,1.55004
0.337,1.55463
0.338,1.55943
0.339,1.56441
0.340,1.56958
0.341,1.57495
0.342,1.58050
0.343,1.58624
0.344,1.59217
0.345,1.59827
0.346,1.60456
0.347,1.61103
0.348,1.61768
0.349,1.62449
0.350,1.63148
0.351,1.63864
0.352,1.64595
0.353,1.65343
0.354,1.66107
0.355,1.66886
0.356,1.67679
0.357,1.68487
0.358,1.69310
0.359,1.70146
0.360,1.70995
0.361,1.71857
0.362,1.72731
0.363,1.73617
0.364,1.74515
0.365,1.75423
0.366,1.76342
0.367,1.77271
0.368,1.78210
0.369,1.79157
0.370,1.80113
0.371,1.81077
0.372,1.82048
0.373,1.83026
0.374,1.84010
0.375,1.85000
0.376,1.85996
0.377,1.86996
0.378,1.88001
0.379,1.89010
0.380,1.90021
0.381,1.91035
0.382,1.92052
0.383,1.93070
0.384,1.94089
0.385,1.95109
0.386,1.96129
0.387,1.97149
0.388,1.98167
0.389,1.99185
0.390,2.00200
0.391,2.01213
0.392,2.02224
0.393,2.03231
0.394,2.04235
0.395,2.05234
0.396,2.06229
0.397,2.07219
0.398,2.08204
0.399,2.09183
0.400,2.10156
0.401,2.11123
0.402,2.12083
0.403,2.13036
0.404,2.13982
0.405,2.14921
0.406,2.15851
0.407,2.16773
0.408,2.17688
0.409,2.18593
0.410,2.19490
0.411,2.20378
0.412,2.21257
0.413,2.22126
0.414,2.22987
0.415,2.23838
0.416,2.24679
0.417,2.25511
0.418,2.26333
0.419,2.27146
0.420,2.27949
0.421,2.28742
0.422,2.29525
0.423,2.30299
0.424,2.31063
0.425,2.31817
0.426,2.32562
0.427,2.33298
0.428,2.34024
0.429,2.34741
0.430,2.35449
0.431,2.36148
0.432,2.36838
0.433,2.37519
0.434,2.38191
0.435,2.38856
0.436,2.39512
0.437,2.40160
0.438,2.40800
0.439,2.41433
0.440,2.42058
0.441,2.42676
0.442,2.43287
0.443,2.43891
0.444,2.44489
0.445,2.45080
0.446,2.45666
0.447,2.46245
0.448,2.46819
0.449,2.47388
0.450,2.47951
0.451,2.48510
0.452,2.49064
0.453,2.49613
0.454,2.50159
0.455,2.50700
0.456,2.51238
0.457,2.51772
0.458,2.52303
0.459,2.52831
0.460,2.53357
0.461,2.53880
0.462,2.54400
0.463,2.54919
0.464,2.55435
0.465,2.55950
0.466,2.56464
0.467,2.56976
