wl,n
0.245,1.53569
0.246,1.56889
0.247,1.60209
0.248,1.63537
0.249,1.66858
0.250,1.70172
0.251,1.73469
0.252,1.76736
0.253,1.79948
0.254,1.83091
0.255,1.86194
0.256,1.89203
0.257,1.92141
0.258,1.95027
0.259,1.97737
0.260,2.00371
0.261,2.02900
0.262,2.05265
0.263,2.07550
0.264,2.09686
0.265,2.11668
0.266,2.13555
0.267,2.15235
0.268,2.16806
0.269,2.18260
0.270,2.19516
0.271,2.20683
0.272,2.21699
0.273,2.22571
0.274,2.23359
0.275,2.23972
0.276,2.24488
0.277,2.24921
0.278,2.25198
0.279,2.25418
0.280,2.25550
0.281,2.25585
0.282,2.25547
0.283,2.25444
0.284,2.25286
0.285,2.25081
0.286,2.24840
0.287,2.24572
0.288,2.24289
0.289,2.24002
0.290,2.23721
0.291,2.23459
0.292,2.23228
0.293,2.23040
0.294,2.22908
0.295,2.22843
0.296,2.22859
0.297,2.22965
0.298,2.23171
0.299,2.23485
0.300,2.23909
0.301,2.24445
0.302,2.25088
0.303,2.25830
0.304,2.26654
0.305,2.27541
0.306,2.28465
0.307,2.29395
0.308,2.30298
0.309,2.31140
0.310,2.31889
0.311,2.32516
0.312,2.32998
0.313,2.33317
0.314,2.33464
0.315,2.33437
0.316,2.33239
0.317,2.32882
0.318,2.32377
0.319,2.31744
0.320,2.30999
0.321,2.30162
0.322,2.29252
0.323,2.28285
0.324,2.27280
0.325,2.26250
0.326,2.25209
0.327,2.24169
0.328,2.23141
0.329,2.22132
0.330,2.21151
0.331,2.20204
0.332,2.19297
0.333,2.18436
0.334,2.17623
0.335,2.16864
0.336,2.16161
0.337,2.15518
0.338,2.14938
0.339,2.14422
0.340,2.13974
0.341,2.13597
0.342,2.13292
0.343,2.13063
0.344,2.12913
0.345,2.12844
0.346,2.12860
0.347,2.12964
0.348,2.13159
0.349,2.13451
0.350,2.13844
0.351,2.14342
0.352,2.14950
0.353,2.15675
0.354,2.16523
0.355,2.17500
0.356,2.18613
0.357,2.19871
0.358,2.21280
0.359,2.22849
0.360,2.24585
0.361,2.26498
0.362,2.28594
0.363,2.30882
0.364,2.33365
0.365,2.36050
0.366,2.38938
0.367,2.42028
0.368,2.45316
0.369,2.48795
0.370,2.52450
0.371,2.56263
0.372,2.60209
0.373,2.64257
0.374,2.68373
0.375,2.72513
0.376,2.76635
0.377,2.80690
0.378,2.84633
0.379,2.88419
0.380,2.92008
0.381,2.95367
0.382,2.98470
0.383,3.01299
0.384,3.03846
0.385,3.06111
0.386,3.08103
0.387,3.09836
0.388,3.11328
0.389,3.12602
0.390,3.13684
0.391,3.14599
0.392,3.15371
0.393,3.16026
0.394,3.16586
0.395,3.17071
0.396,3.17501
0.397,3.17892
0.398,3.18258
0.399,3.18612
0.400,3.18963
0.401,3.19320
0.402,3.19690
0.403,3.20079
0.404,3.20491
0.405,3.20929
0.406,3.21395
0.407,3.21891
0.408,3.22419
0.409,3.22977
0.410,3.23567
0.411,3.24188
0.412,3.24838
0.413,3.25518
0.414,3.26225
0.415,3.26959
0.416,3.27718
0.417,3.28499
0.418,3.29303
0.419,3.30126
0.420,3.30968
0.421,3.31826
0.422,3.32699
0.423,3.33585
0.424,3.34482
0.425,3.35390
0.426,3.36305
0.427,3.37227
0.428,3.38154
0.429,3.39085
0.430,3.40018
0.431,3.40952
0.432,3.41885
0.433,3.42816
0.434,3.43745
0.435,3.44669
0.436,3.45589
0.437,3.46501
0.438,3.47407
0.439,3.48305
0.440,3.49193
0.441,3.50072
0.442,3.50940
0.443,3.51797
0.444,3.52642
0.445,3.53474
0.446,3.54293
0.447,3.55099
0.448,3.55890
0.449,3.56667
0.450,3.57428
0.451,3.58175
0.452,3.58906
0.453,3.59621
0.454,3.60320
0.455,3.61002
0.456,3.61668
0.457,3.62318
0.458,3.62951
0.459,3.63567
0.460,3.64166
0.461,3.64749
0.462,3.65315
0.463,3.65864
0.464,3.66396
0.465,3.66912
0.466,3.67411
0.467,3.67894
0.468,3.68361
0.469,3.68811
0.470,3.69246
0.471,3.69665
0.472,3.70068
0.473,3.70456
0.474,3.70829
0.475,3.71187
0.476,3.71530
0.477,3.71859
0.478,3.72173
0.479,3.72474
0.480,3.72761
0.481,3.73034
0.482,3.73294
0.483,3.73542
0.484,3.73777
0.485,3.73999
0.486,3.74209
0.487,3.74408
0.488,3.74595
0.489,3.74770
0.490,3.74935
0.491,3.75089
0.492,3.75232
0.493,3.75366
0.494,3.75489
0.495,3.75603
0.496,3.75707
0.497,3.75802
0.498,3.75888
0.499,3.75965
0.500,3.76035
0.501,3.76096
0.502,3.76149
0.503,3.76194
0.504,3.76232
0.505,3.76263
0.506,3.76286
0.507,3.76303
0.508,3.76314
0.509,3.76318
0.510,3.76316
0.511,3.76307
0.512,3.76294
0.513,3.76274
0.514,3.76250
0.515,3.76220
0.516,3.76185
0.517,3.76145
0.518,3.76101
0.519,3.76052
0.520,3.75999
0.521,3.75942
0.522,3.75881
0.523,3.75816
0.524,3.75747
0.525,3.75675
0.526,3.75600
0.527,3.75521
0.528,3.75439
0.529,3.75354
0.530,3.75266
0.531,3.75176
0.532,3.75082
0.533,3.74987
0.534,3.74888
0.535,3.74788
0.536,3.74685
0.537,3.74581
0.538,3.74474
0.539,3.74366
0.540,3.74255
0.541,3.74143
0.542,3.74030
0.543,3.73915
0.544,3.73798
0.545,3.73680
0.546,3.73561
0.547,3.73440
0.548,3.73319
0.549,3.73196
0.550,3.73072
0.551,3.72948
0.552,3.72822
0.553,3.72696
0.554,3.72569
0.555,3.72442
0.556,3.72313
0.557,3.72185
0.558,3.72055
0.559,3.71925
0.560,3.71795
0.561,3.71664
0.562,3.71534
0.563,3.71402
0.564,3.71271
0.565,3.71139
0.566,3.71007
0.567,3.70875
0.568,3.70743
0.569,3.70611
0.570,3.70479
0.571,3.70347
0.572,3.70215
0.573,3.70083
0.574,3.69951
0.575,3.69820
0.576,3.69688
0.577,3.69557
0.578,3.69426
0.579,3.69295
0.580,3.69164
0.581,3.69034
0.582,3.68904
0.583,3.68774
0.584,3.68645
0.585,3.68516
0.586,3.68387
0.587,3.68259
0.588,3.68131
0.589,3.68004
0.590,3.67877
0.591,3.67751
0.592,3.67625
0.593,3.67499
0.594,3.67374
0.595,3.67250
0.596,3.67126
0.597,3.67003
0.598,3.66880
0.599,3.66758
0.600,3.66636
0.601,3.66515
0.602,3.66395
0.603,3.66275
0.604,3.66156
0.605,3.66037
0.606,3.65919
0.607,3.65802
0.608,3.65685
0.609,3.65569
0.610,3.65453
0.611,3.65339
0.612,3.65224
0.613,3.65111
0.614,3.64998
0.615,3.64886
0.616,3.64774
0.617,3.64664
0.618,3.64553
0.619,3.64444
0.620,3.64335
0.621,3.64227
0.622,3.64120
0.623,3.64013
0.624,3.63907
0.625,3.63801
0.626,3.63697
0.627,3.63593
0.628,3.63490
0.629,3.63387
0.630,3.63285
0.631,3.63184
0.632,3.63083
0.633,3.62983
0.634,3.62884
0.635,3.62786
0.636,3.62688
0.637,3.62591
0.638,3.62495
0.639,3.62399
0.640,3.62304
0.641,3.62210
0.642,3.62116
0.643,3.62023
0.644,3.61931
0.645,3.61839
0.646,3.61748
0.647,3.61658
0.648,3.61568
0.649,3.61479
0.650,3.61391
0.651,3.61304
0.652,3.61217
0.653,3.61131
0.654,3.61045
0.655,3.60960
0.656,3.60876
0.657,3.60792
0.658,3.60709
0.659,3.60627
0.660,3.60545
0.661,3.60464
0.662,3.60384
0.663,3.60304
0.664,3.60225
0.665,3.60146
0.666,3.60069
0.667,3.59991
0.668,3.59915
0.669,3.59839
0.670,3.59763
0.671,3.59688
0.672,3.59614
0.673,3.59541
0.674,3.59468
0.675,3.59395
0.676,3.59324
0.677,3.59252
0.678,3.59182
0.679,3.59112
0.680,3.59042
0.681,3.58973
0.682,3.58905
0.683,3.58837
0.684,3.58770
0.685,3.58704
0.686,3.58638
0.687,3.58572
0.688,3.58507
0.689,3.58443
0.690,3.58379
0.691,3.58316
0.692,3.58253
0.693,3.58191
0.694,3.58129
0.695,3.58068
0.696,3.58008
0.697,3.57948
0.698,3.57888
0.699,3.57829
0.700,3.57771
0.701,3.57713
