wl,n
0.1800,1.9502435565866
0.1900,1.8091973390216
0.2005,1.7321763073478
0.2117,1.6809695222312
0.2234,1.6445999764924
0.2358,1.6169756568951
0.2489,1.5953526368996
0.2628,1.5779441880412
0.2773,1.5638959651403
0.2927,1.5521775858002
0.3090,1.542333314553
0.3262,1.5340120220595
0.3443,1.5269391241025
0.3634,1.5208685285918
0.3836,1.5156182066487
0.4048,1.511088825815
0.4273,1.5071209878945
0.4511,1.5036467612018
0.4761,1.5006156278111
0.5025,1.4979486395978
0.5304,1.4955949303885
0.5599,1.4935127332454
0.5910,1.4916726784138
0.6238,1.4900428275071
0.6584,1.4885964204843
0.6950,1.4873075532834
0.7336,1.4861610697375
0.7743,1.4851399906043
0.8173,1.4842276318106
0.8627,1.483412024148
0.9106,1.4826824887483
0.9611,1.4820294786357
1.014,1.4814474908442
1.071,1.4809136815893
1.130,1.4804425541051
1.193,1.4800124616138
1.259,1.4796264855579
1.329,1.4792747811172
1.403,1.4789544862652
1.481,1.4786625537659
1.563,1.4783958987068
1.650,1.4781488401158
1.741,1.477921771141
1.838,1.4777076408253
1.940,1.4775069476854
2.048,1.4773158635071
2.162,1.4771327446057
2.282,1.4769558663796
2.408,1.4767834789125
2.542,1.4766113445841
2.683,1.4764392882862
2.832,1.4762645290435
2.990,1.4760843822233
3.156,1.4758983843332
3.331,1.4757037334367
3.516,1.475497583745
3.711,1.4752781024971
3.917,1.4750422071881
4.134,1.4747878040439
4.364,1.47451024126
4.606,1.4742082298093
4.862,1.4738765597347
5.132,1.4735122099086
5.417,1.4731105399903
5.718,1.4726664623402
6.035,1.4721759714144
6.370,1.4716314930286
6.724,1.4710262719702
7.097,1.4703547125402
7.491,1.4696069661542
7.907,1.4687740142533
8.346,1.4678459171013
8.810,1.4668094242734
9.299,1.4656544937583
9.815,1.4643652212848
10.36,1.4629237321521
10.94,1.4612983953167
11.54,1.4595164918556
12.18,1.4575013121981
12.86,1.4552284471045
13.57,1.4527077126939
14.33,1.4498388814708
15.12,1.4466655490414
15.96,1.4430720744662
16.85,1.4390111544545
17.78,1.4344802887459
18.77,1.4293231075135
19.81,1.4235201827255
20.91,1.416934400642
22.08,1.4093996859795
23.30,1.4009301250818
24.60,1.3911753349781
25.96,1.3801105121987
27.40,1.3673646721947
28.92,1.352664621155
30.53,1.335566119496
32.22,1.3157458948753
34.01,1.2924077633515
35.90,1.26478452399
37.90,1.2316861981468
40.00,1.1918600172361
