wl,n
0.2100,1.9622381433939
0.2218,1.8450675773949
0.2343,1.7761930536302
0.2475,1.7295111979703
0.2614,1.6954565953844
0.2761,1.6693175435038
0.2916,1.6486784802425
0.3080,1.6319531593772
0.3254,1.6181391399946
0.3437,1.6066774958094
0.3630,1.5970325507269
0.3834,1.5888269602804
0.4050,1.581785945186
0.4278,1.57572763109
0.4518,1.570500666592
0.4772,1.5659462370135
0.5041,1.5619620679288
0.5324,1.5584882109313
0.5624,1.5554274759743
0.5940,1.552741512997
0.6274,1.5503707463007
0.6627,1.5482745891456
0.7000,1.5464186413489
0.7394,1.54477347909
0.7810,1.5433137402274
0.8249,1.5420174228016
0.8713,1.5408630552215
0.9203,1.5398349001156
0.9721,1.5389172830654
1.027,1.5380956630875
1.085,1.5373617842055
1.146,1.5367082819557
1.210,1.5361265831384
1.278,1.5356015623164
1.350,1.5351290217326
1.426,1.5347044266253
1.506,1.5343231607969
1.591,1.5339769329573
1.680,1.5336662616608
1.775,1.5333812789341
1.875,1.5331227181144
1.980,1.5328875876321
2.091,1.5326711940926
2.209,1.5324698948705
2.333,1.5322835811382
2.465,1.5321075901675
2.603,1.5319428965338
2.750,1.5317843378937
2.904,1.5316326373654
3.068,1.5314834382639
3.240,1.531337226742
3.423,1.531190108509
3.615,1.5310423658946
3.819,1.5308903267903
4.033,1.530734102322
4.260,1.5305700641657
4.500,1.530396727902
4.753,1.5302125139467
5.020,1.5300150208103
5.303,1.529800943454
5.601,1.5295690785687
5.916,1.5293157597005
6.249,1.5290378276047
6.600,1.528732738587
6.972,1.5283950218549
7.364,1.5280224270483
7.778,1.5276096308361
8.216,1.5271507132286
8.678,1.5266413395501
9.166,1.526074518144
9.682,1.5254424577032
10.23,1.5247338144274
10.80,1.5239552933004
11.41,1.5230747312037
12.05,1.5220975064936
12.73,1.5209985841449
13.44,1.5197836752657
14.20,1.5184057737067
15.00,1.5168676314681
15.84,1.5151542919114
16.73,1.5132273213428
17.68,1.5110414315434
18.67,1.5086189814472
19.72,1.5058850570164
20.83,1.5028062166061
22.00,1.4993454719666
23.24,1.4954292020626
24.55,1.4910050428518
25.93,1.4860141769534
27.39,1.4803501200025
28.93,1.4739287050772
30.55,1.4666535183578
32.27,1.4583127023253
34.09,1.4487520227263
36.01,1.4377891236214
38.03,1.425206496754
40.17,1.4105991236345
42.43,1.3936031631984
44.82,1.3736766802711
47.34,1.3502122042639
50.00,1.322309425622
