wl,n
0.6300,3.0044505185388
0.6697,2.9672092326143
0.7094,2.9375251189938
0.7491,2.9134139961287
0.7888,2.8935188475997
0.8285,2.876881663235
0.8682,2.8628079357832
0.9079,2.8507827100862
0.9476,2.8404166858102
0.9873,2.8314105456095
1.027,2.8235307160323
1.067,2.8165432724762
1.106,2.8105065500429
1.146,2.8049912887054
1.186,2.8000619261288
1.226,2.7956363478109
1.265,2.7917414081488
1.305,2.7881216017662
1.345,2.7848340260507
1.384,2.7819097363646
1.424,2.7791649000655
1.464,2.7766483556055
1.503,2.7743901785271
1.543,2.7722529783719
1.583,2.7702779423886
1.623,2.7684483853284
1.662,2.7667906946852
1.702,2.7652073013776
1.742,2.7637309790027
1.781,2.7623851028579
1.821,2.7610919649424
1.861,2.7598793520425
1.900,2.7587678573793
1.940,2.7576943096806
1.980,2.7566824458337
2.020,2.7557271860984
2.059,2.7548459374973
2.099,2.7539894613213
2.139,2.75317724552
2.178,2.7524247108674
2.218,2.7516902483298
2.258,2.7509908456041
2.297,2.7503402412114
2.337,2.7497027826251
2.377,2.7490934097521
2.417,2.7485101638496
2.456,2.7479649382118
2.496,2.7474281547476
2.536,2.7469125695582
2.575,2.7464289452045
2.615,2.745951213227
2.655,2.7454908199566
2.694,2.7450575735195
2.734,2.7446282519471
2.774,2.7442132112712
2.814,2.7438115683874
2.853,2.743432082374
2.893,2.7430545443859
2.933,2.7426881270457
2.972,2.7423409434728
3.012,2.7419945826815
3.052,2.7416574959242
3.091,2.741337248482
3.131,2.7410169210998
3.171,2.7407043573575
3.211,2.7403991121014
3.250,2.7401081454756
3.290,2.7398161519555
3.330,2.7395303080296
3.369,2.739257199853
3.409,2.738982502071
3.449,2.7387129809054
3.488,2.7384549048878
3.528,2.7381947713558
3.568,2.737938999179
3.608,2.7376873443295
3.647,2.7374457248344
3.687,2.7372015363101
3.727,2.7369608152786
3.766,2.7367292640663
3.806,2.7364948267573
3.846,2.7362633049289
3.885,2.7360402189954
3.925,2.7358139736579
3.965,2.7355901724218
4.005,2.7353686724569
4.044,2.7351547960347
4.084,2.73493744865
4.124,2.7347220179001
4.163,2.7345137064988
4.203,2.7343017225977
4.243,2.7340913232355
4.282,2.7338876126773
4.322,2.7336800495246
4.362,2.733473782951
4.402,2.733268724834
4.441,2.7330698763184
4.481,2.7328669612744
4.521,2.7326650151885
4.560,2.7324689804388
4.600,2.7322687350326
