wl,n
0.4950,2.3147657878896
0.5113,2.3006098778988
0.5282,2.288306234798
0.5456,2.2776048725164
0.5636,2.2681880033396
0.5822,2.2598627030148
0.6014,2.2524713304001
0.6212,2.2458839089588
0.6417,2.23996547081
0.6629,2.2346358099151
0.6847,2.2298464278768
0.7073,2.2254940535965
0.7306,2.2215503716949
0.7547,2.2179563135489
0.7796,2.2146774153334
0.8054,2.2116718817192
0.8319,2.2089352799929
0.8593,2.2064219120563
0.8877,2.2041048171805
0.9170,2.2019757000462
0.9472,2.2000180995889
0.9784,2.1982115302661
1.011,2.1965244594802
1.044,2.1949957290595
1.078,2.1935826099441
1.114,2.1922405552538
1.151,2.1910035397271
1.189,2.189862487444
1.228,2.1888091298949
1.268,2.1878359366178
1.310,2.1869152238482
1.353,2.1860656112383
1.398,2.1852638124915
1.444,2.1845242740008
1.492,2.1838274631209
1.541,2.1831846518778
1.592,2.1825794816318
1.644,2.1820208098615
1.699,2.1814856785114
1.755,2.1809920784432
1.813,2.1805282881847
1.872,2.1800996556705
1.934,2.1796900932213
1.998,2.1793055978298
2.064,2.1789445577794
2.132,2.1786053932113
2.202,2.178286569115
2.275,2.1779826206614
2.350,2.177696774857
2.427,2.1774275723207
2.507,2.1771705523084
2.590,2.1769251385891
2.675,2.1766933044812
2.764,2.1764689140138
2.855,2.1762563228346
2.949,2.1760522137408
3.046,2.1758558751354
3.147,2.1756647580789
3.250,2.1754819213795
3.358,2.1753014566812
3.468,2.1751277999264
3.583,2.1749556014506
3.701,2.1747873628678
3.823,2.1746210340283
3.949,2.1744560805515
4.079,2.1742919539252
4.214,2.1741268917115
4.353,2.1739615978804
4.496,2.1737954923056
4.645,2.1736257381099
4.798,2.173454082714
4.956,2.1732788291906
5.120,2.1730983161817
5.288,2.172914165464
5.463,2.1727224943146
5.643,2.1725248832843
5.829,2.172319605068
6.021,2.1721060054229
6.220,2.1718822796494
6.425,2.1716488361243
6.637,2.1714037954029
6.856,2.1711463670641
7.082,2.1708757339485
7.315,2.1705910538811
7.557,2.1702889364152
7.806,2.1699708987778
8.063,2.169634694638
8.329,2.16927792119
8.604,2.1688993937383
8.888,2.1684978844884
9.181,2.168072123537
9.484,2.1676192838643
9.796,2.1671394403916
10.12,2.1666263744573
10.45,2.1660881431817
10.80,2.1654998204149
11.15,2.1648933300413
11.52,2.164232247636
11.90,2.1635317950168
12.29,2.1627900811456
12.70,2.1619852237789
