wl,n
0.5780,2.0693301690558
0.5990,2.0640826070774
0.6208,2.0592776158906
0.6434,2.0548778827363
0.6668,2.0508486780199
0.6911,2.0471434989544
0.7162,2.0437502964196
0.7423,2.040618639045
0.7693,2.0377406664972
0.7973,2.0350866447908
0.8263,2.0326401441315
0.8563,2.0303854590443
0.8875,2.0282950481452
0.9198,2.0263646185157
0.9532,2.0245823875352
0.9879,2.0229281140811
1.024,2.0213900020277
1.061,2.0199795752555
1.100,2.0186490107327
1.140,2.0174272283938
1.181,2.016303945982
1.224,2.0152465816879
1.269,2.0142538445341
1.315,2.0133424916269
1.363,2.0124874056226
1.412,2.0117014894062
1.464,2.0109501707567
1.517,2.010259863413
1.572,2.0096128238103
1.629,2.009006413267
1.689,2.0084287815278
1.750,2.0078964200609
1.814,2.0073890211916
1.880,2.0069129196324
1.948,2.0064654082423
2.019,2.0060381515563
2.092,2.005635409538
2.168,2.0052498469573
2.247,2.0048802661337
2.329,2.0045253627988
2.414,2.0041837616887
2.502,2.0038540455231
2.593,2.0035347781426
2.687,2.0032245225886
2.785,2.0029188166457
2.886,2.0026195866722
2.991,2.0023226292992
3.100,2.0020268675011
3.213,2.0017311650114
3.329,2.0014368453621
3.451,2.0011351917684
3.576,2.0008324839516
3.706,2.0005226107595
3.841,2.0002043893688
3.981,1.999876573606
4.126,1.9995378646425
4.276,1.9991869195394
4.431,1.9988223578946
4.593,1.9984379962319
4.760,1.9980370364613
4.933,1.9976155130149
5.112,1.9971717585568
5.298,1.9967014922572
5.491,1.9962027562331
5.691,1.9956735024106
5.898,1.9951115956764
6.112,1.9945148158622
6.335,1.9938750375587
6.565,1.9931953390618
6.804,1.9924670250664
7.052,1.991686900691
7.308,1.9908549185743
7.574,1.9899610747094
7.850,1.989001356321
8.135,1.9879752103026
8.431,1.9868710145186
8.738,1.9856837240618
9.056,1.9844080265882
9.385,1.9830383316042
9.727,1.9815599493758
10.08,1.9799748188746
10.45,1.9782478417244
10.83,1.9764033483604
11.22,1.974434530678
11.63,1.9722806753998
12.05,1.9699834919188
12.49,1.9674767034527
12.95,1.9647443978765
13.42,1.9618327268764
13.90,1.9587315501377
14.41,1.9552924714062
14.93,1.9516298869896
15.48,1.9475806496847
16.04,1.9432681955844
16.62,1.9385950116281
17.23,1.9334471800587
17.86,1.9278728707546
18.51,1.9218390002255
19.18,1.915309686627
19.88,1.908140996537
20.60,1.9003846078409
