wl,n
0.5800,2.5807436609685
0.6801,2.5265099982979
0.7802,2.494788226441
0.8803,2.4744264319427
0.9804,2.4604875417797
1.081,2.4504353417843
1.181,2.4429908206838
1.281,2.4372685230608
1.381,2.4327573655609
1.481,2.4291229847678
1.581,2.426138750147
1.681,2.4236464214075
1.781,2.4215326777584
1.881,2.4197145733318
1.981,2.4181302257855
2.082,2.4167195226988
2.182,2.4154739824361
2.282,2.4143506201736
2.382,2.41332719433
2.482,2.412385940999
2.582,2.4115125312047
2.682,2.4106953015015
2.782,2.4099246788159
2.882,2.4091927453307
2.982,2.4084929056813
3.083,2.4078130147809
3.183,2.4071618353437
3.283,2.4065285596417
3.383,2.4059098164934
3.483,2.4053027156605
3.583,2.404704767529
3.683,2.4041138180312
3.783,2.4035279955856
3.883,2.4029456675824
3.983,2.4023654044968
4.084,2.4017801558185
4.184,2.4012003944147
4.284,2.4006193450495
4.384,2.4000361392728
4.484,2.3994500041318
4.584,2.3988602497044
4.684,2.3982662584905
4.784,2.3976674763493
4.884,2.397063404731
4.984,2.3964535939956
5.085,2.3958314457735
5.185,2.3952089085933
5.285,2.3945795197601
5.385,2.3939429750974
5.485,2.3932989971619
5.585,2.3926473323675
5.685,2.3919877484615
5.785,2.3913200323056
5.885,2.3906439879193
5.985,2.389959434751
6.086,2.3892592295194
6.186,2.388557082334
6.286,2.3878459614463
6.386,2.3871257344307
6.486,2.3863962781489
6.586,2.3856574778927
6.686,2.3849092266151
6.786,2.3841514242415
6.886,2.3833839770494
6.986,2.3826067971106
7.087,2.3818118820005
7.187,2.3810148941853
7.287,2.3802079390996
7.387,2.3793909474613
7.487,2.3785638537009
7.587,2.3777265956552
7.687,2.376879114288
7.787,2.376021353437
7.887,2.3751532595817
7.987,2.3742747816322
8.088,2.3733769287809
8.188,2.3724774331192
8.288,2.3715674123856
8.388,2.3706468234531
8.488,2.3697156248066
8.588,2.3687737764174
8.688,2.3678212396278
8.788,2.3668579770445
8.888,2.3658839524406
8.988,2.3648991306651
9.089,2.3638934662164
9.189,2.3628868397243
9.289,2.3618693159351
9.389,2.3608408632306
9.489,2.3598014507065
9.589,2.358751048115
9.689,2.3576896258116
9.789,2.3566171547056
9.889,2.3555336062136
9.989,2.3544389522169
10.09,2.3533220508338
10.19,2.3522049913895
10.29,2.3510767442145
10.39,2.3499372826747
10.49,2.3487865804241
10.59,2.3476246113753
