wl,n
8.500,4.8044014365357
8.718,4.8025104768884
8.936,4.8007290590988
9.154,4.7990459202729
9.372,4.797451117638
9.590,4.7959358461132
9.808,4.7944922847006
10.03,4.7930887318838
10.24,4.7918169015773
10.46,4.7905372205721
10.68,4.7893064124412
10.90,4.7881198468418
11.12,4.7869733509502
11.33,4.7859128810925
11.55,4.7848341492787
11.77,4.7837853459302
11.99,4.782763645926
12.21,4.7817664765605
12.42,4.7808353578491
12.64,4.7798795426539
12.86,4.7789418860692
13.08,4.7780205787769
13.30,4.7771139583753
13.51,4.7762608418114
13.73,4.775378620054
13.95,4.7745068997717
14.17,4.7736444726265
14.39,4.7727902196329
14.60,4.7719814673658
14.82,4.7711402625602
15.04,4.7703043730138
15.26,4.7694729609109
15.48,4.7686452447904
15.69,4.7678579288442
15.91,4.7670353725412
16.13,4.7662144883309
16.35,4.7653946747565
16.57,4.7645753669885
16.78,4.7637932840222
17.00,4.7629734597544
17.22,4.7621526592734
17.44,4.7613304361892
17.66,4.7605063685093
17.87,4.7597176705066
18.09,4.7588888632327
18.31,4.7580570898385
18.53,4.7572220080017
18.75,4.7563832919689
18.96,4.755579023907
19.18,4.7547323215123
19.40,4.7538811079808
19.62,4.7530251120641
19.84,4.7521640739257
20.05,4.7513372411579
20.27,4.7504656371697
20.49,4.7495882823567
20.71,4.7487049545985
20.93,4.7478154397003
21.14,4.7469603955269
21.36,4.7460581966823
21.58,4.7451492189378
21.80,4.7442332743267
22.02,4.7433101803923
22.23,4.7424222130423
22.45,4.7414846377461
22.67,4.7405394025642
22.89,4.739586343216
23.11,4.7386252992174
23.32,4.737700346299
23.54,4.7367232456848
23.76,4.7357377057865
23.98,4.7347435785182
24.20,4.7337407183454
24.41,4.7327751646489
24.63,4.7317548241364
24.85,4.7307253336734
25.07,4.7296865558776
25.29,4.7286383549911
25.50,4.7276288858674
25.72,4.7265618805798
25.94,4.7254850591019
26.16,4.7243982906283
26.38,4.7233014452702
26.59,4.722244937676
26.81,4.7211280244636
27.03,4.7200006548013
27.25,4.7188627012757
27.47,4.7177140368341
27.68,4.7166074762349
27.90,4.7154375108823
28.12,4.7142564604079
28.34,4.7130641982597
28.56,4.7118605977957
28.77,4.7107010129791
28.99,4.7094748848739
29.21,4.7082370429883
29.43,4.7069873595552
29.65,4.7057257063404
29.86,4.7045101166753
30.08,4.7032246956109
30.30,4.7019269224997
