wl,n
0.5800,3.078743664458
0.5992,3.0412675983973
0.6184,3.0096205998916
0.6376,2.9825741234743
0.6568,2.9592208411528
0.6760,2.9388760230361
0.6952,2.9210132102556
0.7144,2.9052210071065
0.7336,2.8911733104196
0.7528,2.8786083343977
0.7720,2.8673135379043
0.7912,2.857114601222
0.8104,2.8478672363203
0.8296,2.8394510152192
0.8488,2.8317646588683
0.8680,2.8247223984776
0.8872,2.8182511348513
0.9064,2.8122881987583
0.9256,2.806779569068
0.9448,2.8016784431399
0.9640,2.7969440808714
0.9832,2.7925408632314
1.002,2.788520139222
1.022,2.7845293972537
1.041,2.7809873132321
1.060,2.7776666372767
1.079,2.77454871649
1.098,2.7716168730158
1.118,2.76871533107
1.137,2.7661202427728
1.156,2.7636701126388
1.175,2.7613540507076
1.194,2.7591621944002
1.214,2.7569793321857
1.233,2.7550152682075
1.252,2.753150524717
1.271,2.7513783589384
1.290,2.7496926024657
1.310,2.748005265544
1.329,2.7464796747622
1.348,2.7450246404387
1.367,2.7436357882931
1.386,2.7423090840464
1.406,2.7409756018216
1.425,2.7397650982701
1.444,2.7386062179381
1.463,2.7374960132842
1.482,2.7364317476117
1.502,2.7353583033854
1.521,2.7343805571394
1.540,2.7334415207833
1.559,2.7325391445274
1.578,2.7316715144775
1.598,2.7307937924191
1.617,2.7299920058365
1.636,2.7292198562407
1.655,2.7284758796641
1.674,2.7277587026273
1.694,2.7270313152316
1.713,2.7263651924651
1.732,2.7257221693664
1.751,2.7251011762128
1.770,2.7245012052385
1.790,2.7238913241277
1.809,2.7233315862484
1.828,2.7227901344384
1.847,2.7222661714154
1.866,2.7217589433555
1.886,2.7212423149444
1.905,2.7207672448805
1.924,2.720306848993
1.943,2.7198605226523
1.962,2.719427692363
1.982,2.7189860638328
2.001,2.7185792608733
2.020,2.7181843765827
2.039,2.717800945344
2.058,2.7174285242656
2.078,2.7170479336613
2.097,2.716696813996
2.116,2.7163554797021
2.135,2.7160235672808
2.154,2.7157007300986
2.174,2.7153703424404
2.193,2.7150651138237
2.212,2.7147679971739
2.231,2.7144787052143
2.250,2.7141969633724
2.270,2.7139082612075
2.289,2.7136412069641
2.308,2.7133809364569
2.327,2.7131272201236
2.346,2.7128798381001
2.366,2.712626047687
2.385,2.712391017298
2.404,2.7121617050862
2.423,2.711937925758
2.442,2.711719501515
2.462,2.7114951790191
2.481,2.7112872195592
2.500,2.7110841151171
